replicate,arm,task_id,task_fingerprint,best_rank,correct_programs,entropy_nats,effective_programs,correct_mass,correct_entropy_nats
0,atomic_control,s4c-12ae78371c2444d5f6063c1e,12ae78371c2444d5f6063c1e932717e427dff9159576af7a5bfdfab1cd2340a9,93,3,1.021689232166182,2.7778832926545163,4.1071516258420893e-14,0.002101671053907447
0,atomic_control,s4c-131a6a9fe4b8d5288b585b1d,131a6a9fe4b8d5288b585b1d48eb03d24c38204862fd660673634a75d3cae8ca,30,3,0.0802163701520393,1.0835214840219294,1.2322131452891542e-11,0.5895098038238119
0,atomic_control,s4c-1391b08d445141c0b3eb1980,1391b08d445141c0b3eb198052ef16a08cd3bdb58fd5217357bbde56e093e99a,35,3,0.05293027928010548,1.0543561320881405,6.458549135543545e-12,0.6774598583559308
0,atomic_control,s4c-13ab9f89c70b5b03eaea820e,13ab9f89c70b5b03eaea820e7be82ea05ed63d8a341ac8e0682ab4ae016d97cc,11,1,1.3812796328532173,3.9799912979658596,0.0001042936349041226,-0.0
0,atomic_control,s4c-140301a49a6cb3c8fabd80d3,140301a49a6cb3c8fabd80d386476ccd81d4079f6248e20b4ca659b82b18388a,20,1,0.9925623590293665,2.6981392237478072,5.338453094872504e-06,-0.0
0,atomic_control,s4c-142d874cbcf7d4d5bce352b2,142d874cbcf7d4d5bce352b278f6496889f838bf30615fe1c84ef893e3645e68,45,3,0.39859782622964757,1.4897343660268363,2.2398219899863223e-08,0.002003476291742581
0,atomic_control,s4c-153a40adc14889e2cc7f811a,153a40adc14889e2cc7f811aaf666506937bd938f0f351290d361df5d34cfe99,61,1,1.81231281259527,6.124596107324699,1.7535923987131213e-10,-0.0
0,atomic_control,s4c-156a7af6461e128075f72f12,156a7af6461e128075f72f12d201f9673bc94c51409bf9f266e0c834c9eae6db,67,1,0.3568315566918512,1.4287951785964803,2.291961395441669e-11,-0.0
0,atomic_control,s4c-156ed5291cef2576bdf7ec77,156ed5291cef2576bdf7ec77e1f1de9d0126c0bda4c9d38735b4579c8b9e6391,92,1,1.4575672368449317,4.29549688038978,5.068495232372162e-15,-0.0
0,atomic_control,s4c-16579b2ca585fd9056759c85,16579b2ca585fd9056759c85334f9beb2ad7a77b4c2edaac9ecfdf6043b242d4,35,1,1.0257778708011902,2.789264304175452,7.508068039255238e-08,-0.0
0,atomic_control,s4c-16c27ca204704a8f9955336d,16c27ca204704a8f9955336d644443b627c1731ce42d529afd05dc565db7c339,9,1,0.6710282181957227,1.9562477364036912,1.0987496634199573e-05,-0.0
0,atomic_control,s4c-16f16fbff56b71f48d0c8714,16f16fbff56b71f48d0c871495c6b6df809fc861a9d6992cce01db81b38eb48b,44,1,0.20329707175521758,1.2254364567385834,1.7650030817248832e-09,-0.0
0,atomic_control,s4c-16f4c16728fd97bdd10d2d3f,16f4c16728fd97bdd10d2d3febd656db97e7c27d1617323ab5d84c17fcf9dc23,34,1,0.12885173361076038,1.1375214554632067,1.026468300798798e-11,-0.0
0,atomic_control,s4c-17755377d8cbad9fd716b4a4,17755377d8cbad9fd716b4a4ff786da64423156fe812b01fbfcd7141d7467483,46,3,0.9267676854049777,2.5263300724534967,1.4237927309879893e-09,0.10721805768118234
0,atomic_control,s4c-17bce876aeaf423f03248209,17bce876aeaf423f0324820970ed739d63b1a7a68b8b76f1465311ab32aadda3,37,3,0.26143401383346626,1.2987912364894474,4.244335809715822e-08,0.6763785958419302
0,atomic_control,s4c-17e840a4801a812ec261ba9d,17e840a4801a812ec261ba9dc815786403476b244ae70b4e9f636feb2c736490,37,1,0.08126405756681615,1.0846572707152005,4.186213970930515e-12,-0.0
0,atomic_control,s4c-182ce1a6368c5186cefe0004,182ce1a6368c5186cefe0004ce236a77697b04b7510e0dba927e49276fe189de,20,3,1.0749514576894041,2.9298506753602775,1.754328781028238e-06,0.542920904645546
0,atomic_control,s4c-18d146609ba546086401bf5b,18d146609ba546086401bf5b97b9bfdc7b76e83bb150a87b639aba56b8b51858,45,2,0.4137292706665488,1.51244760751978,2.416435724111407e-11,0.42555424615431914
0,atomic_control,s4c-18f97e902cf0f159619a64f4,18f97e902cf0f159619a64f42535f31131599f2c5d6b54086f89b3f68dfa37cd,107,1,0.4660020509617651,1.5936102677788608,3.5276462447991125e-16,-0.0
0,atomic_control,s4c-18fd1ba17f58e4219b79a9d7,18fd1ba17f58e4219b79a9d738faee2f3e12f6aa7807d0455e8060698082cc6a,6,3,0.06517670035814732,1.0673476084269446,3.124576141491224e-05,0.7459500633953585
0,atomic_control,s4c-1905022789b4febd65989f11,1905022789b4febd65989f11a0e1d54768b3a9311864b55fc8e44df39d662167,28,3,1.6134300602532436,5.020000635279062,5.324512653964763e-07,0.534811808010453
0,atomic_control,s4c-193a33c3763797ffa49d85b0,193a33c3763797ffa49d85b0a9b0c38d5de5d1d74afa4f020951a4deeff2efdc,5,1,0.558545082777249,1.7481272687236247,0.001507341028991719,-0.0
0,atomic_control,s4c-197a6fdb01cbce9d5eecfda0,197a6fdb01cbce9d5eecfda02131098a32e56821a9a020dd89debb32b8b557bb,7,1,1.185705561773258,3.272995307353408,0.0012399575227947492,-0.0
0,atomic_control,s4c-199bad605676d25c93cac1b5,199bad605676d25c93cac1b57154c4fbbe3799142a65cdf060415e5f344b8cdc,76,1,0.9108730588167864,2.486492440166622,4.11805575097534e-11,-0.0
